gc,void_index,ra,dec,gal_l,gal_b,z,L,theta_v,inner_valid,ring_valid,masked_frac_inner,masked_frac_ring,max_masked_frac,discarded
NGC,865,219.31946203386124,40.18850888148822,70.56722951920204,64.54353913132087,0.19708860498967498,21.699363583352774,0.02598214199026168,1.0,0.9711187080042438,0.0,0.028881291995756175,0.028881291995756175,False
NGC,866,268.85180073446077,32.71836249943435,58.36460722847449,25.322162140610235,0.18134406230091424,21.853777551517446,0.02832313526223081,0.9869190367654346,0.9938559112080071,0.013080963234565424,0.006144088791992908,0.013080963234565424,False
NGC,867,174.77412233575762,1.9033441954694588,265.38503957049824,59.39486050603352,0.11683849139800201,18.986052661098263,0.037568392854105626,0.7187095321209391,0.649636681124317,0.28129046787906087,0.35036331887568295,0.35036331887568295,True
NGC,868,147.1657188225735,-2.559696767487624,239.52771917113006,36.91761279426989,0.22892206296884438,21.031593258868256,0.021861747632651318,0.24546815233660402,0.30663121156722617,0.754531847663396,0.6933687884327738,0.754531847663396,True
NGC,869,220.38548117095675,37.77158964921111,64.61770894664934,64.5766862346966,0.0756088700687081,21.614573833686244,0.06541651378477258,1.0,0.988902108041789,0.0,0.011097891958210981,0.011097891958210981,False
NGC,870,129.47097427862295,-3.62412381918694,229.18347380666995,21.656399510567958,0.16631300351964157,21.495038921273373,0.03025859612935981,0.34507286606523246,0.27441779631560653,0.6549271339347675,0.7255822036843935,0.7255822036843935,True
NGC,871,157.19392744951918,-3.655449192150937,249.16932716092327,43.82943290614447,0.2252874392522713,20.3519465922622,0.021476087989185547,0.3885053503624439,0.322208842250129,0.6114946496375562,0.677791157749871,0.677791157749871,True
NGC,872,138.96873872452556,-1.3756336267506704,232.6839269369459,30.890299499217516,0.20747006835034978,19.95171326903791,0.022755563364571463,0.4685293214614676,0.5328220858895706,0.5314706785385324,0.4671779141104294,0.5314706785385324,True
NGC,873,215.56463851667652,3.0754221913881628,348.9254690036213,57.5968272611492,0.21270328521569784,22.664933707217582,0.0252485339241084,0.3886120109643658,0.5534065385575243,0.6113879890356342,0.4465934614424757,0.6113879890356342,True
NGC,874,234.98366779348882,-0.17360354894549412,5.990446612716947,41.2017954631841,0.22191578154168612,21.659985968644555,0.023183143818168845,0.9132041993198284,0.7609467455621302,0.08679580068017156,0.23905325443786984,0.23905325443786984,False
NGC,875,158.67377127902537,-0.6975186844053844,247.56103910458924,46.937645077078265,0.17599196530783143,18.910403691065685,0.025218910624961864,0.6855251654802048,0.6391146680005002,0.3144748345197952,0.3608853319994998,0.3608853319994998,True
NGC,876,192.60623002820168,-5.0358701437626845,302.45804980629896,57.83494538327986,0.15493132440897453,22.105426087144654,0.03330655498940819,0.28588825214899716,0.3289379389422388,0.7141117478510028,0.6710620610577612,0.7141117478510028,True
NGC,877,214.85658631207662,-0.35949482469211347,344.0976080720852,55.31793079561121,0.15920427498601558,21.426622353801232,0.03145168574122986,0.835756164163521,0.6441604372638855,0.16424383583647895,0.3558395627361145,0.3558395627361145,True
NGC,878,264.2562747236286,19.06864213160592,42.64215669599494,24.66476021407325,0.16780514275698444,21.503371193663043,0.030012660684394628,0.9421516754850088,0.9087294575013253,0.05784832451499122,0.09127054249867472,0.09127054249867472,False
NGC,879,265.1614203411491,25.434506544275393,49.56678338461607,26.114684382569006,0.2225209379579418,21.071397898853625,0.02249540151697328,0.9984303876942395,0.9847436300723498,0.0015696123057604705,0.015256369927650226,0.015256369927650226,False
NGC,880,221.93588552693754,-1.2929273377755754,352.19135316218245,50.11545916149058,0.22535991749183204,20.409215130187057,0.021530001422778833,0.5846628924343799,0.5926879505664263,0.41533710756562014,0.4073120494335737,0.41533710756562014,True
NGC,881,241.84313694801094,5.494889622334774,17.123058752461375,38.68629034575456,0.06971711942464723,20.776294057246297,0.06809452943968529,0.4834428000617358,0.6725507350796837,0.5165571999382642,0.32744926492031634,0.5165571999382642,True
NGC,882,195.75285135801963,-5.868346308043507,308.20545602303895,56.88485001829962,0.1903163593524037,21.820913053944366,0.027009904731380405,0.3020039207144413,0.45763267088884035,0.6979960792855586,0.5423673291111597,0.6979960792855586,True
NGC,883,164.03614092294987,-6.235022903369071,258.7873860354948,46.51815658821571,0.09586567084265027,21.714421497776257,0.052092961723771106,0.5585986701426521,0.5856439416143971,0.4414013298573479,0.41435605838560285,0.4414013298573479,True
NGC,884,233.07468712004874,0.36054186453914727,4.980629853429802,43.03717270757361,0.20657790502998258,21.250217492486666,0.024335560672279266,0.9570296763797502,0.7782993562231759,0.04297032362024977,0.22170064377682408,0.22170064377682408,False
NGC,885,268.42417978897186,28.51325882284825,53.83258585338695,24.369592862531643,0.15388992045401623,20.941105605848293,0.03175732275501425,0.9058387833898038,0.9261274046042258,0.09416121661019616,0.07387259539577418,0.09416121661019616,False
